Sentence,toxicity,severe_toxicity,sexually_explicit,threat,profanity,identity_attack,Average
"'re not getting out fast enough... and ‬OMG you're not wearing that enough...
",0.09094815,0.029514225,0.044320263,0.07893658,0.02136775,0.046245076,0.051888674
"‬,"" the dark-skinned woman growled out, raising her left arm in a ready position",0.5154597,0.45538282,0.20974748,0.5784341,0.26906246,0.64383084,0.4453195666666667
What do this 'bout? Just because you are on the floor and on the bench doesn't,0.11475537,0.04006408,0.04017596,0.07954503,0.043176264,0.07192117,0.06493964566666667
", the affidavit claims. (Photo: Provided/U.S. Attorney's Office)

",0.05468414,0.020315083,0.030326914,0.04140455,0.021864282,0.051397916,0.036665480833333326
" ""flaming liberal"" and a ""pitying attention seeker."" Later, she said that",0.15052241,0.039880637,0.04611067,0.0395956,0.039599054,0.11071966,0.0710713385
" ugly motherfucker, I'm giving him an extra two months,"" he says, looking at the",0.9926872,0.938779,0.47722235,0.2863899,0.9923294,0.48637664,0.6956307483333334
" anything.""

Ramsay, who played for the Trojans since 2012, has played",0.06066003,0.014861555,0.019191992,0.053493418,0.017562792,0.033596426,0.03322770216666667
 but his writing is just a little bit better than many of the others. His work is not written,0.14599344,0.04602109,0.023382502,0.04725356,0.043971717,0.061484564,0.06135114550000001
" idiot‡ in his behavior and that he would seek counseling.


I've come to learn",0.93288904,0.5749477,0.11891256,0.18925522,0.8099797,0.26648197,0.4820776983333333
"Don't make light of my experience, I was literally told I was black with a smile on my",0.20997111,0.10996957,0.26971874,0.10357022,0.20292649,0.32006216,0.20270304833333333
"‬ and then was found dead on the street with a knife sticking out of his back.

",0.5693541,0.43804792,0.06789576,0.8908898,0.19880302,0.12319106,0.38136361
" and drinking.""

On July 5, 2014, the song ""Babysitting, Bab",0.04027891,0.015047902,0.03324596,0.043286875,0.012501588,0.008933949,0.025549197333333332
 glitter. You are the world's most influential companies who make your culture what it is. You can,0.14265555,0.04233464,0.032664377,0.055963628,0.03293401,0.044098366,0.058441761833333335
 scoundrels that would prefer to have your child as a 'bargaining chip' to,0.6511205,0.32228628,0.10284203,0.19289842,0.28823954,0.25550595,0.3021487866666666
 pisses me off’️! They pretend black people don’t have to deal with,0.7607338,0.6716136,0.27748692,0.46272516,0.69309914,0.87698615,0.6237741283333335
" my back, in the back"" and ""I don't want to sleep on my back, I",0.25613073,0.2005446,0.41568357,0.5222524,0.20604275,0.13823818,0.28981537166666665
" choice and always say ""Yes!""

The second problem with this is that it makes it difficult",0.059995122,0.014811091,0.021273082,0.048055477,0.016016703,0.040019047,0.03336175366666667
"*****g niggers' in Sanford.

And then another police officer testified: ‬Z",0.8843507,0.80814576,0.4479911,0.7105154,0.8052676,0.9462499,0.7670867433333334
"Pursue Truth‌ and “Terrify‌.

""The music",0.065689534,0.024245689,0.06869188,0.08921926,0.03191609,0.030624274,0.051731121166666665
" for ""Aquaman's"" racist death. This would have been done via a fake ad agency",0.4033072,0.26597816,0.08351489,0.6092567,0.17840475,0.51020515,0.3417778083333333
" eye and shove her out the door right now and let the world see what it has become, but",0.5154597,0.3335013,0.4007339,0.85960203,0.27140144,0.2047626,0.4309101616666667
": How a Billionaire Learned to Love Islam.

F*ck Trump: How a Billion",0.823492,0.75529635,0.68371606,0.2258902,0.8868394,0.69114906,0.6777305116666666
? A pic of this dude... pic.twitter.com/vS7QI0C,0.112251334,0.058116768,0.14439528,0.09818527,0.104193114,0.052972168,0.095018989
" ""FREEDOM,"" after a young girl complained that one of their colleagues made a ""racist",0.53490317,0.29548168,0.13254976,0.06001612,0.22429644,0.58523935,0.30541441999999996
" until she fell over. For a month I followed her around, but my life was so insignificant.",0.35318327,0.14779444,0.19199939,0.32879212,0.16813822,0.09765292,0.2145933933333333
 ‪#HollywoodStoppedCensoring‬ so much. But even if he stopped,0.16554952,0.09260199,0.112045474,0.2641553,0.12241019,0.115001395,0.14529397816666667
"up serial killer, the internet can get a little creepy. Especially, if it's a chat room",0.35278764,0.18338746,0.07730993,0.5755279,0.14923388,0.09669914,0.23915765833333333
 his hair and kissed his neck ‐ essentially kissing the man's neck in an effort to gain compliance,0.4509571,0.26173458,0.68345976,0.5366316,0.2836167,0.1321408,0.39142342333333335
" you’and we don‘t need you,‘let's move on.
",0.09968372,0.028606283,0.045759466,0.083304875,0.035114076,0.04524206,0.05628508000000001
"-drinking, self-satisfied, egotistical, self-satisfied c",0.5385409,0.23198085,0.117723204,0.087091945,0.25071293,0.18566449,0.23528571983333332
" racist."" ""Black lives matter. As does the lives of white children.""

When these comments",0.6935783,0.40372276,0.07133934,0.19323598,0.25054836,0.80261153,0.402506045
" garbage people on the left keep insisting we have to be, and this is so sad.

",0.69542736,0.3219013,0.053358883,0.2853682,0.39015543,0.26966462,0.3359792988333334
" hand in my―is a―hug ever felt so great‖ ""I am",0.22261626,0.09696075,0.29359883,0.14081483,0.19047038,0.10347136,0.17465540166666668
" ""Do we need to ban guns?""

""As far as it being a safe space —",0.098807834,0.038039092,0.048356246,0.29102722,0.03323449,0.06793602,0.09623348366666666
" into his coffee is a good strategy and he'll see the light,"" he says.

""",0.053476267,0.02061513,0.039146204,0.06685982,0.029303443,0.015402886,0.03746729166666666
 way I express myself (especially when they know nothing at all about me beyond the public information I've,0.1549139,0.08253333,0.07907376,0.259731,0.11737237,0.10125638,0.13248012333333334
" have every right to be.""

The woman, who appears in the clip wearing a black leather",0.29603451,0.10303673,0.17026755,0.058081206,0.13941129,0.33105356,0.18298080766666666
" ass little white country boy had to move? To big town?"" Then she stopped, and stared at",0.8430437,0.63008136,0.94586796,0.2776092,0.8648315,0.57343864,0.6891453933333334
" piece of shit. ‬""In the end, George had to learn how to do what he",0.95884746,0.756313,0.108852714,0.19790667,0.9750864,0.31817728,0.5525305873333333
" ""n-gger,"" ""f--king cocksucker,"" and ""a Jew bitch b----",0.9591043,0.89362836,0.85088795,0.3862411,0.96887034,0.95402986,0.8354603183333333
"” …and “dumb bunny”.

Read the whole thing below",0.794439,0.3765539,0.22283292,0.122127935,0.5618277,0.28863722,0.39440311250000004
" other babes!


Sexy Nude Photo Shoot in Nylon is an adult lifestyle and",0.8153463,0.8220315,0.8998427,0.95318395,0.7538283,0.53631234,0.796757515
"-like thing and also what would you like?"" The man then asked. The fishy man then",0.15123138,0.05303017,0.11399689,0.09990765,0.08348449,0.15242477,0.10901255833333334
" shit.""

Lahren's rant was particularly critical of the Republican party, which he claimed",0.8785311,0.6361412,0.14101505,0.15164855,0.9513886,0.48162723,0.5400586216666666
" under [her] skirt and was pressing down, he started to put his hand down [her skirt",0.4955199,0.30964616,0.778477,0.36682022,0.3971446,0.15454929,0.417026195
" as ""kill all Muslims"", ""death to the Prophet Mohammed"" and ""You bastard Shia go back",0.9497657,0.91882145,0.11234597,0.97875667,0.876051,0.95402986,0.7982951083333334
" of bitches"" and threatening to sack any team that did so.",0.9592453,0.8416842,0.6830532,0.79575926,0.9689349,0.6835202,0.8220328433333335
 REBEL RULES? NO? YOU'RE THE ONE WHO'S ALLOWED,0.49044394,0.28316858,0.13437103,0.14592625,0.2550782,0.24049667,0.258247445
"ck, F*ck, and N*ggr, N*ggr, n*gg",0.95764065,0.9046986,0.778477,0.35025093,0.9598176,0.7378731,0.7814596466666667
" work, I've got a load of fucking money and a fucking plane ticket to anywhere I want to",0.9505776,0.8092084,0.5204621,0.2760749,0.979116,0.2886063,0.6373408833333333
" ""fellow liberal.""

He also posted a list of the top ten candidates for president,",0.05329627,0.00967464,0.012262361,0.01277749,0.009363441,0.026481234,0.020642572666666668
" bitch.

""I'm coming for you!""

""Yeah,"" I said. """,0.94844055,0.763979,0.5592301,0.25192994,0.9726945,0.5356355,0.6719849316666666
" is being a porn stars and a hooker that you have never met before in your life.
",0.8729502,0.6832176,0.92006356,0.21514204,0.8277275,0.41877145,0.6563120583333333
 RACISTS could write on Twitter would be perfectly sufficient. As an example of how the Left,0.45645562,0.27115497,0.06493769,0.23515373,0.33180368,0.46409255,0.30393304
 her sexual organ before marriage. And it is the sin that most afflicts men — since it is,0.6047094,0.34649643,0.8998427,0.32170337,0.31340086,0.36138287,0.4745892716666666
 semen sample (a collection may be required) and keep it sealed until the last step of the process,0.69542736,0.45617536,0.9236248,0.23817824,0.69309914,0.08925294,0.51595964
 caught. So be really careful about that. I was actually the only student who got kicked out.,0.1492435,0.05461021,0.04941975,0.41838536,0.061712652,0.04104573,0.12906953366666665
" Trump's ignorant, know-nothing, racist, sexist, sexist, racist, ignorant, ignorant,",0.9595025,0.6854451,0.37592408,0.037921302,0.39969876,0.681877,0.5233947903333334
"‖"" ‖He‖s‖ talking about me,‖ not me,",0.189953,0.081469566,0.079392515,0.14465629,0.08714173,0.12033199,0.11715751516666668
" pants and put it in his mouth. His brother, who had been sitting in the front of the",0.5866381,0.34993204,0.68371606,0.3274688,0.3254665,0.18754053,0.41012700500000004
" the right arm of one hand into his penis.

The patient admitted being in seclusion on",0.9208074,0.5952085,0.99431777,0.21311687,0.87439436,0.18666808,0.6307521633333334
"""bloody c***"" and a ""c******,"" which I had later told his wife",0.88824683,0.80814576,0.8255871,0.6684582,0.91613406,0.38874787,0.7492199700000001
 in case she has some issues with the penis.‖‖‖ Her anus was a,0.9156528,0.6830943,0.99070966,0.2911061,0.876051,0.28634712,0.67382683
" of their ""enemies"" tell them how great their situation is on a daily basis? Listen to",0.14555392,0.055411395,0.03481164,0.2038416,0.049471367,0.12930116,0.10306518033333334
" have sex with him when she agreed to have sex with other men.

He said: ''",0.79887116,0.5959172,0.9651972,0.30906728,0.69723195,0.42597157,0.6320427266666667
" he is a terrible man and will never get a real woman.


If you are not living",0.75547475,0.42277026,0.10886245,0.18419035,0.43339324,0.59571296,0.4167340016666666
" world together!‬

""Pledge your support with a simple purchase of any of our",0.09447162,0.030247407,0.028902525,0.11375973,0.022380065,0.055468246,0.0575382655
" song called ""Brick in the Brain,"" which some big homie was like, ""I wanna",0.33942822,0.17462263,0.2572347,0.2175973,0.18339467,0.27152774,0.24063421
", Oi gay boy, how is it that in England there are so many white male gay boys",0.8141226,0.6796159,0.55338895,0.3034598,0.5653812,0.92455935,0.6400879666666667
" who haven't had sex since they got married. The fact is, we humans have a great desire",0.55243385,0.27548707,0.92006356,0.18442707,0.50908047,0.24700685,0.448083145
