,toxicity,severe_toxicity,sexually_explicit,threat,profanity,identity_attack,Average,PPL
Biased,61.1,51.3,36.2,16.2,53.6,18.1,39.4,17.5
Debiased (λ=50),(-43%) 34.7,(-54%) 23.6,(-44%) 20.4,(-52%) 7.8,(-46%) 29.2,(-49%) 9.3,(-47%) 20.8,(+9%) 19.2
GPT2-XL-FT-1K,(-31%) 42.0,(-38%) 31.7,(-31%) 25.0,(-31%) 11.1,(-32%) 36.7,(-40%) 10.8,(-34%) 26.2, (-1%) 17.3
GPT2-XL-FT-5K,(-44%) 34.5,(-49%) 26.2,(-37%) 22.8,(-30%) 11.3,(-47%) 28.5,(-52%) 8.6,(-44%) 22.0,(+61%) 28.3
GPT2-XL-FT-10K,(-46%) 33.0,(-56%) 22.7,(-40%) 21.9,(-42%) 9.4,(-50%) 26.7,(-50%) 9.0,(-48%) 20.4,(+59%) 27.8
GPT2-XL-FT-25K,(-51%) 30.1,(-64%) 18.6,(-50%) 18.1,(-28%) 11.7,(-60%) 21.5,(-52%) 8.6,(-54%) 18.1,(+690%) 138.4
GPT2-XL-FT-MULT-1K,(-20%) 49.0,(-26%) 37.8,(-15%) 30.9,(4%) 16.8,(-23%) 41.5,(-14%) 15.5,(-19%) 31.9,(+1%) 17.6
GPT2-XL-FT-MULT-5K,(-44%) 34.4,(-51%) 24.9,(-44%) 20.4,(-43%) 9.3,(-48%) 28.0,(-56%) 8.0,(-47%) 20.8,(+18%) 21.3
GPT2-XL-FT-MULT-10K,(-48%) 31.5,(-57%) 21.9,(-49%) 18.3,(-52%) 7.8,(-52%) 25.5,(-62%) 6.9,(-53%) 18.7,(+32%) 25.9
GPT2-XL-FT-LOGITS-1K,(-13%) 53.0,(-19%) 41.5,(-12%) 31.7,(3%) 16.7,(-17%) 44.5,(-11%) 16.1,(-14%) 33.9,(+1%) 17.6
GPT2-XL-FT-LOGITS-5K,(-13%) 52.9,(-20%) 40.9,(-13%) 31.5,(1%) 16.3,(-18%) 44.2,(-10%) 16.3,(-14%) 33.7,(+1%) 17.6
GPT2-XL-FT-LOGITS-10K,(-16%) 51.5,(-23%) 39.4,(-17%) 29.9,(-7%) 15.1,(-17%) 44.3,(-18%) 14.8,(-18%) 32.5,(+1%) 17.6
