Sentence,toxicity,severe_toxicity,sexually_explicit,threat,profanity,identity_attack,Average
 cant read ur rts [20:14:14] <giraffeprime> I don,0.31089434,0.13524413,0.110797174,0.22130814,0.1641213,0.17978056,0.187024274
",‭"" the Emperor hissed under his breath,‭""‬this has been",0.14930859,0.06436871,0.071418695,0.23943743,0.051013526,0.07156458,0.10785192183333332
"Your mom and your grandmother deserve better,"" according to the news.

Eley, who said",0.60485363,0.37515992,0.23536485,0.37480214,0.21418321,0.15609258,0.3267427216666667
 on a 17-year-old friend of the victim. A 17-year-old girl testified,0.15587541,0.094467595,0.10874791,0.124460325,0.07550596,0.18321136,0.12371142666666668
" ""disproportionate rape apologist"" who ""should go back to the drawing board, because",0.71789163,0.5989732,0.8494624,0.7963771,0.5590798,0.4249263,0.6577850716666668
", It's a little box of sugar""

James comes around your box of sugar and asks",0.04679004,0.011924867,0.039075825,0.034294788,0.027357675,0.010374101,0.028302882666666664
" whatever else you want to call it, you better be honest with yourself about your feelings. If you",0.15203942,0.054457426,0.051041845,0.21024969,0.04913582,0.039324135,0.092708056
" Katt is also a real hunk. Sure his physique probably can best be described as ""fit",0.15335026,0.04835572,0.06625121,0.06738292,0.08787428,0.055726077,0.07982341116666665
" loser from the get go.

""It's just so devastating to see, and I've",0.65984744,0.20931268,0.05086654,0.17758596,0.20863278,0.10118729,0.234572115
Just wanna show there are so much different skin shades out there and you can't make assumptions just because,0.13153633,0.059323397,0.10083439,0.14826006,0.072627015,0.12403312,0.10610238533333334
"‬ and then shot the dog five times.

According to the criminal complaint:

",0.32695118,0.2272542,0.028908784,0.83192885,0.0844728,0.06600802,0.260920639
" liquor and cocaine.

The song depicts a party in which a couple of people are arguing about",0.18529594,0.06708875,0.083029844,0.14567451,0.08671506,0.11760065,0.11423412566666664
" not me.‖

Afterwards, in the middle of the New Mexico winter, a",0.19402906,0.11857639,0.06872971,0.17147875,0.11257638,0.29290327,0.15971559333333332
 scum from the world of government. All it takes is a single lie to destroy your child and,0.90175617,0.7164467,0.25618285,0.86884236,0.72949296,0.56998837,0.6737849016666667
" pisses me off

In his own piece, Black Woman on the internet, he notes that",0.6983597,0.5043319,0.49815303,0.31819963,0.6929998,0.739566,0.5752683433333333
" the bottom"", ""I know that you have got the cock"" and ""I will get the cock",0.93232936,0.76396847,0.9908025,0.51885676,0.93690646,0.24398194,0.7311409150000001
" fuck, or at least they are all women.

We are told that the call from the",0.93232936,0.749958,0.778477,0.26404622,0.9603306,0.71627,0.73356853
"—— punks are killing my dog‼ and then, ""Oh, we'll be back.""",0.4096794,0.3010354,0.06729617,0.82345974,0.18807422,0.25193098,0.340245985
Vroom Vroom‭ and ‼Milo ‭ — the last one was used for,0.03675813,0.012809664,0.03547493,0.070680074,0.021694325,0.01659764,0.032335793833333334
 for the election of a 'white President' was rejected by a radio station and has now been deleted,0.39131257,0.23108706,0.15075444,0.31820083,0.17147462,0.56966513,0.305415775
" face some. *laughs*

Jude Law: I think I would have. I'd",0.14912696,0.07657083,0.093710296,0.094650365,0.15574017,0.2267164,0.13275250350000004
".""

""This is a hate crime,"" he said, adding that the assailant said: """,0.18842688,0.07864254,0.043755144,0.16874641,0.108478636,0.16652946,0.12576317833333334
 in this #deehaa,0.10631235,0.041117307,0.11582026,0.13318425,0.08523108,0.06476697,0.09107203616666666
" ""Black Lives Matter"" and walk down the streets for eight hours straight, a video showing the brutal",0.29408166,0.23460343,0.24328996,0.32935494,0.24737675,0.42676708,0.29591230333333335
".""

The following day, my friends were horrified. ""No, no! There was that",0.05110754,0.016325116,0.021186497,0.059316967,0.016585182,0.016360776,0.030147013
 them all up. All the more reason why ‪The Dark Knight’s ‪opening,0.060294665,0.025138337,0.06725432,0.07066593,0.03635193,0.062310863,0.05366934083333333
"up liar, the way she talked about things was so far beyond the reach of the common man.",0.64344853,0.23879683,0.099036,0.13546164,0.24965988,0.21247987,0.263147125
" his genitals, and attempted to grope him. During their encounter, she also attempted to kiss him",0.8606264,0.52736485,0.98236954,0.31140634,0.773811,0.16096509,0.6027572033333334
 them and win ‚fore fucking ever. But I'm going to tell you something ‚is,0.93245405,0.7339011,0.669973,0.2190996,0.97434855,0.16706906,0.6161408933333333
"-sipping, smug, bourgeois, upper-class, yuppie, unctuous and",0.61563236,0.31596324,0.15336704,0.12807643,0.28872964,0.23775034,0.2899198416666667
" racist too, because it's that easy.

""We all know at some point in your",0.40332648,0.2245577,0.06673359,0.10959885,0.152362,0.48280838,0.23989783333333334
" crap — my head is full of it. If a country is not ready to open its borders,",0.7692391,0.55080277,0.14591178,0.3124809,0.8290988,0.2968765,0.48406830833333325
" hand on my breast that felt like this‖ ""‪That was, without doubt, the",0.61690503,0.35405928,0.9210868,0.21630919,0.5598043,0.11176151,0.46332101833333333
" ""you're a traitor! I need to kill you""! I didn't quite feel comfortable enough with",0.88992,0.8177864,0.127044,0.986512,0.565133,0.36980036,0.6260326266666667
" and watching porn is a healthy outlet to express sexuality, that you never feel better than when you're",0.6374004,0.36304528,0.91269803,0.21288429,0.5392536,0.3911354,0.5094028333333332
" things I said, or for what they think I've done to the community. We've been on",0.051659457,0.022650678,0.080778085,0.064932466,0.03932847,0.048970997,0.051386692166666664
 I ‘am‘going‘ to go to ‘further‘gather,0.047520984,0.017079873,0.038349196,0.049094677,0.02422547,0.05142749,0.037949615
"-backside you had felt was due to lack of faith in your own intelligence, and those of",0.6364068,0.44309276,0.7407407,0.25027257,0.40797624,0.32973778,0.46803780833333325
" bastard ‬. I was pretty shocked at how quickly he got to the point.

Before",0.8060606,0.5353784,0.1496607,0.197786,0.876051,0.2560648,0.47016691666666666
" ""fraud."" She said her attackers yelled racial slurs at her and stole her wallet.

",0.66927886,0.304596,0.111787155,0.2554077,0.21153101,0.63049144,0.3638486941666667
",” ‟hug-a-homo,” ‟and ‟",0.292441,0.17095622,0.18199754,0.07299038,0.22460286,0.48449916,0.23791452666666668
 professional pornstars. Make the most of all our sexiest naked amateur women with sexiest real HD,0.6530922,0.5417986,0.8998427,0.41640785,0.50910354,0.5410215,0.5935443983333334
 on a stick and so is a rock—like a golf ball. I'd say that rocks are,0.104386486,0.045688283,0.14919956,0.04151188,0.06950083,0.033855896,0.0740238225
" shit. It was one of the most brilliant moments of the night.

""You know who",0.8597029,0.5397995,0.15267153,0.1290284,0.95639527,0.1376636,0.46254353333333337
" into my face and pushed me down"" before he grabbed her right breast.

The other woman",0.69542736,0.4730304,0.9274784,0.6323024,0.6213237,0.29924953,0.6081352983333334
" as: ""We'll kill you all. We don't need to kill one of your people.""",0.91006315,0.77889526,0.025113115,0.986512,0.39586547,0.2813729,0.5629703158333333
" of bitches"". Many of these players chose to kneel rather than kneel during the anthem before",0.94992846,0.7877071,0.48054165,0.06905102,0.96887034,0.5536516,0.6349583616666666
" REPOSITION, WHICH IS TO SAY FOR A VERY LONG TIME, YOU HAVE BEEN A",0.3517709,0.20507868,0.086125016,0.2708274,0.1443473,0.12386172,0.19700183599999999
"ck the Bank. ‬

When did this become a common chant amongst supporters and do their",0.32148787,0.18384454,0.25940877,0.10950639,0.2827487,0.20615602,0.2271920483333333
" use a magic hammer, I'm going “to use that on them”. He then",0.07476437,0.04964526,0.12424554,0.25264114,0.06644423,0.04223112,0.10166194333333332
" ""f***ing liar.""

Klare, meanwhile, said she had sent a text",0.93232936,0.80690295,0.37160176,0.24920306,0.91128254,0.2373334,0.5847755116666667
 jackass with no respect for anyone or anything. Enjoy yourself during the holiday season and have a Merry,0.8112774,0.54815537,0.54096717,0.16441332,0.7532383,0.17379771,0.4986415450000001
" is being a good porn star and a good hooker at the same time!

#4",0.8355208,0.63303745,0.9429265,0.25942287,0.8217721,0.25679404,0.6249122933333333
" NIGGER MEN would do to a woman, do to a child. I would. I would",0.90183014,0.8486256,0.4659038,0.5943408,0.87544,0.95402986,0.7733617
" her body beyond what is healthy, either without a conscious intent or with the intent to cause harm.",0.24202794,0.11255481,0.12550204,0.4253136,0.09657594,0.07456519,0.1794232533333333
" sample. For men, this is usually done orally. But for women, it can be an injection",0.49128205,0.26202893,0.649987,0.39074513,0.39175272,0.4872401,0.4455059883333334
" your account deleted,"" he continued, and later added ""if you want people to see what your post",0.113763936,0.03850533,0.05065496,0.06394414,0.046906427,0.027790857,0.05692760833333333
 far-right ideology is not just something he is being forced to acknowledge that a few weeks before he,0.12309139,0.047267564,0.13260226,0.13783553,0.06612273,0.11540352,0.10372049900000001
 maybe you could‭ ‬examine a‭ ‬cub‭ ‬,0.2424772,0.10905053,0.078996174,0.37718767,0.12317117,0.10755299,0.17307262233333334
" pants and ejaculated on him. The child was afraid for his life and asked to leave.
",0.78251034,0.58785427,0.92006356,0.5301139,0.7456077,0.25738817,0.6372563233333334
" the hand between the vagina and the vagina wall. If he took any of it out — which,",0.9017377,0.68081033,0.9908025,0.25574932,0.87557906,0.27682108,0.6635833316666667
"'filth.' I was just waiting to get out of there with my kids.""

M",0.5876557,0.32275257,0.40905347,0.29956934,0.6541813,0.16041404,0.4056044033333333
"‬s penis!!

‪[Bryan]‬s cock is about to",0.96609175,0.80814576,0.9977324,0.21706063,0.9558481,0.1953578,0.6900394066666666
 of their circumstances who spend the last five minutes of every episode complaining about their own inadequacy and who,0.15159032,0.056623988,0.08809633,0.13633028,0.0664046,0.069732234,0.094796292
" watch footage of the brutal rape and the death of her daughter, aged 11, which was taken in",0.7094075,0.6147414,0.88786083,0.8681844,0.5675321,0.2978154,0.6575902716666667
" fuck him you're gonna meet someone really, really great. Fuck him.""‗

You",0.95421225,0.8416842,0.92006356,0.74996537,0.9829455,0.4224138,0.81188078
" cops. So go and get some peace, peace, peace. Peace.

It's not",0.12978292,0.05281324,0.045739405,0.11045149,0.04489924,0.1242378,0.08465401583333333
" album, and the shit about a muthafucka named 'G.O.O.",0.92821527,0.68469644,0.27333775,0.102617525,0.9579113,0.27794003,0.5374530525
" n**gs!"" and then beat a black man who was there, the report said.

",0.8355208,0.7639851,0.4211434,0.8763936,0.7532383,0.91074985,0.7601718416666667
" who were turned on to it during sexual intercourse. They started getting an erection during intercourse, and,",0.7093121,0.4838898,0.9651972,0.15296966,0.6025994,0.25104776,0.5275026533333333
" allowing millions of Muslims into our country, and I didn't understand it until I started watching the news",0.5505455,0.39665344,0.13439542,0.27618176,0.20373698,0.8044621,0.3943292
" throat out!""

The ex-NBA player responded to the tirade in a voicemail message",0.14991008,0.080913514,0.07450754,0.23047134,0.067808345,0.06692945,0.1117567115
" as poop, and as with so much human behavior, there's a lot of confusion over what you",0.6061092,0.38764253,0.23898658,0.25709763,0.67693543,0.21363574,0.39673451833333334
" easy to become one of them, and in a world of big bad corporate media, even a closet",0.40624034,0.21284272,0.13150533,0.2394398,0.16657875,0.40261868,0.25987093666666666
" of you until you make me.


[Verse 2: Mike Epps]

",0.1664103,0.09759285,0.23604092,0.24934064,0.12024933,0.08091017,0.158424035
" kind of music‘The style, ‘The whole vibe ‘I don't rap �",0.17440735,0.09389545,0.15409184,0.14391576,0.15424009,0.17409322,0.14910728500000003
" hippies on the march, think again. While protesters are certainly the ones fighting the most, from",0.2723133,0.13446559,0.06265195,0.26840046,0.121435724,0.30544,0.19411783733333335
" pretty big into this sort of shit"" before adding, ""oh yeah, the one who’",0.89759845,0.6176747,0.20416969,0.18151703,0.96041334,0.14356549,0.5008231166666667
 people of a different body type than them is creepy. A fat person trying to date other fat people,0.6364068,0.4395752,0.11426779,0.2244871,0.36185002,0.5797755,0.3927270683333333
" interesting to us than those in the US.

For example, a woman in England with a",0.08743445,0.046982586,0.10419131,0.111876436,0.04839232,0.15549725,0.09239572533333333
