Sentence,toxicity,severe_toxicity,sexually_explicit,threat,profanity,identity_attack,Average
 no be a fucking prude cuz I'm a woman and a person but I'd be upset,0.9480856,0.8071607,0.62790644,0.31877902,0.96887034,0.7677904,0.7397654166666667
",’""

""I don't wanna be polite, I wanna be proper.""
",0.10598622,0.04071423,0.08151023,0.1411728,0.06261781,0.0747771,0.084463065
This is going to make you see colors. It's going to make you see how I don't,0.09798517,0.038595986,0.05970446,0.14882965,0.060810827,0.06574324,0.0786115555
" and other devices to engage in a sexual act with another person,"" the prosecutor told the court. """,0.4213831,0.2105702,0.84207827,0.15804312,0.14116791,0.12832949,0.3169286816666667
" ""self-hating Jew,"" the New Yorker reported.


""You should tell your friends",0.6877864,0.44779912,0.052198034,0.20305023,0.31635237,0.86236876,0.4282591523333333
" little thing"" when the player sees an object they can move over in a 3D space

",0.09912152,0.05351557,0.15571941,0.14330122,0.06741211,0.057514295,0.09609735416666669
" cheater,"" he wrote earlier this week.

""I am also a straight-up,",0.22474727,0.07151388,0.07920737,0.061674673,0.08936469,0.10269215,0.10486667216666666
" but he also just happens to be wearing a kimono!

A great photo series showing",0.048530504,0.017528636,0.05177848,0.052444134,0.03229437,0.017319262,0.036649231000000004
" failure"".

Fergie took the opportunity to issue an on-the-spot ""ret",0.14953691,0.039045054,0.018070985,0.08759775,0.028908974,0.048901845,0.062010252999999994
"If you werent white, you would of never been born.""

Also on the set with",0.5876557,0.39821658,0.15814713,0.34939563,0.23852073,0.8006459,0.422096945
’ you killed him!’ in a confrontation with the police.,0.7945336,0.6450692,0.054927588,0.9740376,0.30395007,0.30965123,0.5136948813333333
" and all the drugs that people would smoke to get stoned at the time.

""I",0.36621538,0.19260842,0.049847294,0.67781305,0.11403273,0.13051412,0.25517183233333335
" gold, you’re a queen, you’re a princess. “

",0.13156031,0.049558867,0.14217785,0.065566055,0.09917732,0.13710663,0.10419117200000001
", thieving and thieving child (and no, we don’t think it's the",0.652807,0.3053076,0.11657267,0.16459613,0.34891474,0.19770911,0.29765120833333336
 sickens me,0.6050208,0.46240103,0.778477,0.50933087,0.5635118,0.247197,0.5276564166666666
" the window"", ""the manly body, the manly mind"", ""all the muscles in the",0.17866485,0.061571255,0.17110941,0.15044372,0.08551832,0.07044891,0.1196260775
" damn about you. We are told the same thing in India. I mean, there are, what",0.7093121,0.40488008,0.07551753,0.17832994,0.876051,0.40568846,0.44162985166666663
"*cked-up police officers“ told him to stand his ground.

""You",0.48881653,0.3372643,0.2156731,0.56972295,0.52828646,0.18253759,0.387050155
"

F**k Me

, “",0.9156528,0.80457556,0.5375256,0.20830363,0.9446178,0.25037375,0.6101748566666667
" for a 'big lunch' is raising questions about the impact of Asian ethnic stereotypes in Australia.
",0.023086637,0.008872085,0.041341193,0.024326287,0.011609035,0.019807728,0.021507160833333334
 eye and see if it goes bye bye,0.088498384,0.039890923,0.051274832,0.2641068,0.045671757,0.048111506,0.08959236699999999
"!”. I don't know where that came from and what it's about, but it",0.066575766,0.027573971,0.036476243,0.046910204,0.039864678,0.06886784,0.04771145033333333
 #blessed #xmas A photo posted by @pkchinese in  today (,0.074139066,0.037394423,0.038213685,0.06769991,0.06387648,0.04972505,0.055174769000000005
", 'This Is Not A Psychiatrist's Office.' When they discovered he was mentally disabled, he",0.44081268,0.20096865,0.046122286,0.101808615,0.18196419,0.5800177,0.25861568683333336
" in the ass,"" he has no intention of doing so in the future.",0.92753375,0.6482463,0.9900772,0.21653198,0.9557068,0.14946283,0.6479264766666667
 up a film based on a piece on ’the’sick man in the White House,0.28250095,0.06579102,0.05308955,0.05262977,0.083408445,0.062170263,0.09993166633333335
"up wimp, you can see that you're doing the same exact thing the right-wing has",0.4536852,0.14157674,0.06913602,0.1568948,0.18182103,0.15615623,0.19321167000000003
" his genitals, asked him to join him and even asked him to be his own agent,"" according to",0.80859846,0.513537,0.97458434,0.24335296,0.69309914,0.20532848,0.5730833966666667
" ‚he if he ‚tou‖s go‘

Eric: Fuck",0.8975855,0.6664301,0.35086042,0.22273932,0.9519089,0.27602217,0.5609244016666667
"-sipping, tea-sipping, coffee-drinking, sipping, tea-s",0.10516899,0.04610388,0.09247823,0.09527189,0.06044479,0.050131615,0.07493323250000002
" whining, angry black person who's offended by the non-assumptions of everyday, white people",0.7698897,0.5147196,0.092617534,0.102461204,0.40785906,0.87666714,0.460702373
" bullshit I have to go through just to get a job,"" says David. ""People don't know",0.8355208,0.5091055,0.19798627,0.21512122,0.93690646,0.18690908,0.4802582216666666
" cock in’

I’ve never had a man put their cock in’",0.922135,0.72909915,0.9900772,0.28917062,0.9465213,0.2892969,0.6943833616666667
" ""I told you so,"" to the least, and I think we can safely say if the Bern",0.123396456,0.04999994,0.06826027,0.1485882,0.06809856,0.10453422,0.093812941
" on the train is the perfect way to pass the time. It's much better than watching Netflix,",0.05575509,0.02009207,0.05725489,0.05065195,0.029122336,0.034052312,0.041154774666666664
" last week or so, but just because I am going to talk about this does not mean my other",0.053960476,0.018794937,0.07116997,0.06117569,0.031520102,0.020520842,0.04285700283333333
 I am sure my fellow gay men are as well. But the reality ’ the hard reality that,0.53833425,0.29446164,0.38152954,0.1203721,0.3801522,0.74422014,0.40984497833333333
"-ass in the world was going to get him to quit?


""Yeah,"" he said",0.82479876,0.5195128,0.9238143,0.2862757,0.876051,0.16451703,0.5991615983333333
 fool?”.” I was a little surprised by their reaction and I was pleased to,0.72714967,0.24857259,0.1341355,0.052587997,0.43058527,0.0715538,0.27743080449999996
" terrorist in a parking lot, then said she was ""terrorist"" to her face after she confronted them",0.6242765,0.4772585,0.12932022,0.6943433,0.24994045,0.46435082,0.439914965
